Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
I have lived in my current state of residence for more than a year.,Not provided,475,999,0.7632728978637123,0.94,0.94
I have lived in my current state of residence for more than a year.,Within the past 3 months,476,999,1.9239119666796902,0.003,0.045
I have lived in my current state of residence for more than a year.,Within the past 6 months,469,999,0.9042515957516918,0.612,0.7649999999999999
I have lived in my current state of residence for more than a year.,Within the past month,468,999,1.1247865862432933,0.243,0.7516666666666667
I have lived in my current state of residence for more than a year.,Within the past year,481,999,0.9993770272841318,0.451,0.7516666666666667
Not provided,Within the past 3 months,21,999,1.0410955243324536,0.344,0.7516666666666667
Not provided,Within the past 6 months,14,999,0.7932029904838752,0.912,0.94
Not provided,Within the past month,13,999,0.9972024983862363,0.439,0.7516666666666667
Not provided,Within the past year,26,999,0.7850323401265037,0.928,0.94
Within the past 3 months,Within the past 6 months,15,999,1.1254944851604445,0.254,0.7516666666666667
Within the past 3 months,Within the past month,14,999,0.9706272716964744,0.505,0.7575000000000001
Within the past 3 months,Within the past year,27,999,1.8274032575515797,0.007,0.052500000000000005
Within the past 6 months,Within the past month,7,999,0.9364695129868168,0.589,0.7649999999999999
Within the past 6 months,Within the past year,20,999,0.9971593559888371,0.436,0.7516666666666667
Within the past month,Within the past year,19,999,1.1649880936894943,0.196,0.7516666666666667
